StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength
agn.27.nea,2019,13150,2335,169047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alf.27.nea,2018,9476,1628,169048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ane.27.8,2019,13285,2337,169051,NA,NA,NA,21000,NA,NA,NA,NA,1,NA
ane.27.9a,2019,12959,2377,169052,NA,NA,0.504150619593585,0.307430585793762,NA,NA,NA,NA,NA,NA
anf.27.3a46,2019,13221,2373,169054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ank.27.78abd,2019,13000,2368,195875,NA,NA,NA,NA,1,NA,NA,NA,NA,16
ank.27.8c9a,2019,12974,2369,169050,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
aru.27.123a4,2019,12619,2289,169057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aru.27.5a14,2019,12692,2298,169059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aru.27.5b6a,2019,12704,2290,169058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aru.27.6b7-1012,2019,12965,2291,169060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bli.27.5a14,2019,12918,2299,169061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bli.27.5b67,2018,9467,1592,169062,0.17,0.12,75000,54000,0.12,75000,NA,NA,9,NA
bli.27.nea,2019,12896,2301,169063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bll.27.22-32,2017,8502,1315,169064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bll.27.3a47de,2019,12953,2303,169065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
boc.27.6-8,2019,13104,2304,169066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bsf.27.nea,2018,9905,1781,169067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bsk.27.nea,2019,13041,2305,169068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bss.27.4bc7ad-h,2019,12957,2361,169069,0.254,0.1815,14439,10313,0.1713,14439,NA,NA,0,NA
bss.27.6a7bj,2017,8831,1517,169072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bss.27.8ab,2019,13045,2391,169070,0.1715,0.1225,16688,11920,0.1225,16688,NA,NA,0,1
bss.27.8c9a,2019,12656,2293,169071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cap.27.1-2,2019,13181,2306,169073,NA,NA,NA,2e+05,NA,NA,NA,NA,1,NA
cap.27.2a514,2019,13266,2307,169074,NA,NA,NA,150000,NA,NA,NA,NA,0,NA
cod.21.1,2019,12925,2360,169084,NA,NA,5983,4346,0.27,5983,NA,NA,1,NA
cod.21.1a-e,2019,12939,2338,169090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod.2127.1f14,2019,11552,2380,169089,2.34,1.33,14803,10354,0.46,14803,NA,NA,1,NA
cod.27.1-2,2019,11554,2352,169079,0.74,0.4,460000,220000,0.4,460000,NA,NA,3,NA
cod.27.1-2coast,2019,11570,2312,169080,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
cod.27.21,2019,13064,2344,169086,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
cod.27.22-24,2019,10446,2308,169075,1.45,0.99,21876,14500,0.26,21876,NA,NA,1,NA
cod.27.24-32,2019,12941,2309,169076,NA,NA,108035,96550,NA,NA,NA,NA,0,NA
